#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
5500;-320245.96943902015;4538.710849747804;27.875983289015227;192.57796579471417;689
5600;-320177.194780817;4590.338262661477;28.193070000920788;192.57796579471417;689
5700;-320173.1952690983;4656.860260473331;28.60163669766425;192.57796579471417;689
5800;-320179.6282524967;4771.241208897365;29.30414485744871;192.57828228348916;689
5900;-320140.3470024967;4756.3068701400625;29.21242071122904;192.55522014010506;689
6000;-320220.4093804264;4854.45081526009;29.815203982658623;192.40146737766648;690
6100;-320001.59834527015;5000.100136005982;30.709757120229504;192.23184757157244;690
6200;-319851.83467339515;5172.040738495255;31.765786799220958;192.23184757157244;691
6300;-319755.5653862858;5316.402203405887;32.652430147221445;192.20439513608656;691
6400;-319704.5136284733;5433.496675833201;33.37160430584872;192.20439513608656;691
6500;-319660.7816948795;5491.578901136214;33.728335367935564;192.07243791294601;691
6600;-319659.9672417545;5599.5355311556195;34.391386466360686;192.00815045030717;692
6700;-319500.560015192;5612.766021141375;34.472645865771185;191.97705621731006;692
6800;-319538.1302056217;5754.853613621264;35.34532347945215;191.97705621731006;693
6900;-319559.6016411686;5820.384107738839;35.74780053062714;191.97705621731006;692
7000;-319518.8557915592;5825.697706175928;35.78043574052271;192.01841366722175;692
7100;-319329.13447808265;6018.71678036877;36.965925776081995;192.10598189000413;692
7200;-319241.36677788734;6252.0140532644655;38.39879759715749;191.8739105882541;693
7300;-319163.317827692;6355.837745027791;39.03646489794162;191.7312793712852;693
7400;-319129.60603569984;6461.3210471916755;39.684325241050715;191.7312793712852;694
7500;-319081.0819878483;6544.720104218126;40.19654793973137;191.7312793712852;694
7600;-319074.98311089515;6631.374314303759;40.72876322998369;191.54415513759125;693
7700;-319076.1938042545;6690.95165271427;41.094677020245896;191.54415513759125;694
7800;-319010.6446099186;6636.858368423775;40.76244534943709;191.6096676197035;694
7900;-319096.15010308265;6792.170310901354;41.716344651775344;191.6096676197035;694
8000;-319029.007280817;6764.261014684598;41.54493054307756;191.33019100793754;695
8100;-318919.5009331608;6961.846468336007;42.75846649777387;191.2355467726583;695
8200;-318788.9086480045;7120.344928184761;43.73193684306453;191.2355467726583;695
8300;-318694.0137505436;7228.811041720706;44.39811710183128;191.2355467726583;695
8400;-318650.2270073795;7310.391059995309;44.899167576608;191.21509309633848;695
8500;-318511.3690972233;7371.813123554981;45.27641135221917;191.42508283477486;695
8600;-318482.91267632484;7516.8455362557725;46.167175546425874;191.31671520435023;695
8700;-318544.46260308265;7616.676128050545;46.7803179123376;191.12687973441254;696
8800;-318600.5937065983;7730.6591405084255;47.48038201769563;191.25817817588705;696
8900;-318504.59248589515;7675.666010848712;47.14262365102418;191.17455938446878;696
9000;-318537.4921440983;7763.989838563633;47.68509344628329;190.96451980465304;696
9100;-318302.54255913734;7912.624792496092;48.59798383061236;191.3967553270333;696
9200;-318110.8700737858;8050.079872192611;49.44220934562249;191.33413425917698;697
9300;-318066.276812067;8174.261118756796;50.20490925505265;191.16012769948966;696
9400;-318057.1073784733;8279.293972692849;50.85000302243412;190.92718082654386;696
9500;-317969.9961724186;8343.172163559779;51.242331910545154;190.86932457804798;697
9600;-317946.3742241764;8471.937150121274;52.03318436456257;190.85754411026994;697
9700;-317938.8946099186;8505.544735086572;52.23959638504387;190.88578279822914;697
9800;-317930.729937067;8650.281673688616;53.12854582803338;190.95927231468983;697
9900;-317841.2152886295;8616.964323194523;52.92391637787592;191.1588732376948;697
10000;-317958.3742241764;8791.463095320913;53.99565789584885;191.0006013601762;697
10100;-317582.2196831608;8853.044516475813;54.37388041846741;190.94934632254575;697
10200;-317489.761187067;9156.168481009488;56.23561579874842;190.94934632254575;698
10300;-317398.6085991764;9334.95423371775;57.333687215896845;190.90010907523396;698
10400;-317287.98604058265;9479.302314967383;58.220248363747835;190.80433667397938;698
10500;-317183.29182671546;9467.674501523381;58.14883232867022;190.9722472794878;698
10600;-317210.8743462467;9557.312081617536;58.699370965629484;190.69898646157418;698
10700;-317107.75081109046;9573.621130713676;58.799538346878066;190.65190772594534;699
10800;-317025.8293023014;9568.18490018684;58.76614995172842;190.68080679528356;698
10900;-317204.52705620765;9781.575496726931;60.07675838220712;190.52337720745777;699
11000;-317182.368608942;9770.843738108495;60.0108457621234;190.21779392532937;699
11100;-317011.63447808265;9944.62399749455;61.07817429812731;190.32305092717294;699
11200;-316834.0160698795;10118.055882745495;62.14336317996727;190.31925328292206;699
11300;-316808.862749567;10245.780168225348;62.9278238265043;190.40887485446785;699
11400;-316728.8690972233;10293.599430719973;63.22152153193694;190.40887485446785;699
11500;-316727.9903130436;10273.97894446968;63.10101587186259;190.0542003517387;699
11600;-316683.9579644108;10376.050328500918;63.72792079921648;190.18135713064058;699
11700;-316750.7815728092;10558.052053082298;64.84574416381447;190.1445621945438;700
11800;-316620.0692925358;10602.008450750756;65.11571681627355;190.07542375095667;700
11900;-316542.90291069984;10591.014929048572;65.04819649224265;190.07542375095667;700
12000;-316634.6331353092;10756.267855295853;66.06315161122453;190.07542375095667;700
12100;-316323.8937554264;10909.797958778101;67.00610716418065;190.10835238675853;700
12200;-316299.8203911686;11139.081527465372;68.41432750267772;189.95293772401214;700
12300;-316032.9613823795;11130.006765350641;68.35859187081299;190.08364388986539;700
12400;-315964.99470757484;11353.457724176697;69.73098932029926;190.172602158712;700
12500;-316033.9286675358;11417.392631198018;70.12366654929923;190.01268755465983;700
12600;-315933.2345757389;11425.59272209456;70.17403010061757;189.85182093551103;700
12700;-315952.00252007484;11465.431747377137;70.41871455833963;190.02433046711184;700
12800;-316026.8754448795;11559.377212708641;70.99571148728154;189.6076488510647;700
